size,Triton,Torch
4096.000000,8.302703,9.481482
8192.000000,15.593909,15.999999
16384.000000,31.999999,32.336841
32768.000000,52.512819,54.734968
65536.000000,85.333339,85.630661
131072.000000,123.033788,111.455780
262144.000000,139.636363,139.636363
524288.000000,155.176008,153.960852
1048576.000000,165.008813,164.974206
2097152.000000,170.518640,170.260229
4194304.000000,173.232445,173.022827
8388608.000000,174.918158,174.923014
16777216.000000,175.871627,175.832314
33554432.000000,176.110409,176.122732
67108864.000000,176.315835,176.093148
134217728.000000,169.712538,165.057517
